.id,crash_date,crash_time,severity
1,01/01/2024,06:30:00,No injuries
2,01/01/2024,05:30:00,No injuries
3,01/01/2024,02:40:00,No injuries
4,01/01/2024,18:22:00,Injured
5,01/01/2024,01:30:00,No injuries
6,01/01/2024,08:37:00,No injuries
7,01/01/2024,10:00:00,Injured
8,01/01/2024,21:56:00,Injured
9,01/01/2024,06:00:00,No injuries
10,01/01/2024,16:40:00,No injuries
11,01/01/2024,05:57:00,Injured
12,01/01/2024,02:00:00,No injuries
13,01/01/2024,15:38:00,No injuries
14,01/01/2024,06:40:00,No injuries
15,01/01/2024,20:49:00,Injured
16,01/01/2024,04:40:00,No injuries
17,01/01/2024,06:10:00,No injuries
18,01/01/2024,20:00:00,No injuries
19,01/01/2024,02:27:00,No injuries
20,01/01/2024,10:15:00,Injured
21,01/01/2024,11:50:00,Injured
22,01/01/2024,09:45:00,No injuries
23,01/01/2024,18:03:00,Injured
24,01/01/2024,02:05:00,Injured
25,01/01/2024,19:02:00,No injuries
26,01/01/2024,00:58:00,Injured
27,01/01/2024,18:34:00,No injuries
28,01/01/2024,16:00:00,No injuries
29,01/01/2024,01:30:00,No injuries
30,01/01/2024,02:53:00,No injuries
31,01/01/2024,14:22:00,Injured
32,01/01/2024,00:00:00,Injured
33,01/01/2024,09:30:00,No injuries
34,01/01/2024,14:25:00,Injured
35,01/01/2024,06:00:00,No injuries
36,01/01/2024,07:47:00,Injured
37,01/01/2024,17:54:00,Injured
38,01/01/2024,01:27:00,No injuries
39,01/01/2024,17:45:00,Injured
40,01/01/2024,20:18:00,No injuries
41,01/01/2024,02:00:00,No injuries
42,01/01/2024,17:37:00,Injured
43,01/01/2024,04:30:00,No injuries
44,01/01/2024,01:00:00,Injured
45,01/01/2024,19:59:00,No injuries
46,01/01/2024,20:52:00,No injuries
47,01/01/2024,01:58:00,Injured
48,01/01/2024,01:00:00,No injuries
49,01/01/2024,16:40:00,No injuries
50,01/01/2024,03:44:00,Injured
51,01/01/2024,01:44:00,No injuries
52,01/01/2024,01:10:00,Injured
53,01/01/2024,18:00:00,No injuries
54,01/01/2024,22:55:00,No injuries
55,01/01/2024,16:01:00,Injured
56,01/01/2024,01:37:00,No injuries
57,01/01/2024,20:00:00,No injuries
58,01/01/2024,04:10:00,Injured
59,01/01/2024,03:50:00,Injured
60,01/01/2024,20:15:00,No injuries
61,01/01/2024,04:30:00,No injuries
62,01/01/2024,06:17:00,No injuries
63,01/01/2024,06:54:00,Injured
64,01/01/2024,20:30:00,No injuries
65,01/01/2024,02:26:00,Injured
66,01/01/2024,06:10:00,No injuries
67,01/01/2024,20:20:00,No injuries
68,01/01/2024,00:16:00,Injured
69,01/01/2024,05:45:00,No injuries
70,01/01/2024,09:00:00,No injuries
71,01/01/2024,04:50:00,No injuries
72,01/01/2024,07:05:00,No injuries
73,01/01/2024,06:00:00,No injuries
74,01/01/2024,05:52:00,Deadly
75,01/01/2024,11:25:00,Injured
76,01/01/2024,20:00:00,No injuries
77,01/01/2024,21:02:00,No injuries
78,01/01/2024,02:47:00,Injured
79,01/01/2024,03:00:00,No injuries
80,01/01/2024,07:40:00,Injured
81,01/01/2024,02:20:00,No injuries
82,01/01/2024,03:50:00,No injuries
83,01/01/2024,21:30:00,Injured
84,01/01/2024,07:52:00,No injuries
85,01/01/2024,07:45:00,No injuries
86,01/01/2024,15:09:00,No injuries
87,01/01/2024,01:00:00,Injured
88,01/01/2024,16:42:00,No injuries
89,01/01/2024,11:39:00,Injured
90,01/01/2024,08:45:00,No injuries
91,01/01/2024,08:32:00,No injuries
92,01/01/2024,22:00:00,No injuries
93,01/01/2024,03:07:00,No injuries
94,01/01/2024,12:00:00,No injuries
